Headline,Text,Link
Six journalists arrested over footage of South Sudan president wetting himself,State broadcaster’s staff held on suspicion of disseminating the clip of Salva Kiir at official event,https://www.theguardian.com/world/2023/jan/06/six-journalists-reportedly-held-over-footage-of-south-sudans-president-wetting-himself
Killing of LGBTQ+ activist prompts outcry over anti-gay attacks in Kenya,"Body of fashion designer and model Edwin Chiloba, 25, found stuffed in metal box by side of road, say reports",https://www.theguardian.com/world/2023/jan/06/killing-lgbtq-activist-edwin-chiloba-outcry-anti-gay-attacks-kenya
UN envoy calls for release of jailed journalist on hunger strike in Senegal,"Concerns raised over health of Pape Alé Niang, detained since 20 December on charges of revealing confidential government information",https://www.theguardian.com/global-development/2023/jan/06/jailed-journalist-hunger-strike-senegal-pape-ale-niang
Zimbabwe court denies opposition MP pre-trial bail for fifteenth time,"In an election year, critics of the ruling Zanu-PF party are claiming political persecution over the continued incarceration of Job Sikhala",https://www.theguardian.com/global-development/2023/jan/05/zimbabwe-court-denies-opposition-mp-pre-trial-bail-for-fifteenth-time-job-sikhala
Nine killed in New Year’s Eve crush in Ugandan capital,Survivor says pushing began after fireworks outside Freedom City shopping mall in Kampala,https://www.theguardian.com/world/2023/jan/01/nine-killed-in-new-years-eve-crush-in-kampala-uganda
Blair government had misgivings about Mandela mediation role over Lockerbie,Files show Downing Street felt former South African leader’s attempt to mediate was ‘unlikely to be helpful’,https://www.theguardian.com/uk-news/2022/dec/30/blair-government-misgivings-mandela-mediation-role-lockerbie-national-archives
"Jair Bolsonaro wrecked Brazil’s presidential palace, TV report suggests","Journalist touring residence with new first lady is shown torn sofas, broken windows and art damaged by the sun",https://www.theguardian.com/world/2023/jan/06/brazil-first-lady-shaken-condition-presidential-palace-bolsonaro
Sinaloa cartel launches violent response as Mexico recaptures El Chapo’s son,Ovidio Guzmán’s arrest on Thursday prompted heavy fighting from cartel gunmen in the city of Culiacán,https://www.theguardian.com/world/2023/jan/05/mexican-authorities-recapture-drug-lord-el-chapo-son
"Briton shot dead in Jamaica was victim of contract killing, police say","Jamaican police say fatal shooting of Sean Patterson, 33, was ‘contract killing that emanated from Britain’",https://www.theguardian.com/world/2023/jan/05/sean-patterson-briton-shot-dead-in-jamaica-was-victim-of-contract-killing-police-say
Number of populist world leaders at 20-year low,"After Bolsonaro’s defeat and Duterte’s departure, 1.7 billion people are now living under populist rule, report says",https://www.theguardian.com/world/2023/jan/05/number-of-populist-world-leaders-at-20-year-low
British man shot dead at villa in Jamaica,"Sean Patterson, 33, reportedly killed by gunman while he was standing by pool at guest house in Bogue Hill",https://www.theguardian.com/world/2023/jan/04/sean-patterson-british-man-shot-dead-jamaica
‘A lack of respect’: Brazil footballers fail to show up to Pelé’s funeral,Few of the country’s previous World Cup winners traveled to pay homage to the football legend,https://www.theguardian.com/football/2023/jan/04/pele-funeral-brazil-footballers-dont-show-up
China Covid: wave of celebrity deaths sparks doubt over actual toll,Users of Chinese social media have questioned the country’s official statistics after a surge in the number of public figures dying,https://www.theguardian.com/world/2023/jan/06/china-covid-wave-of-celebrity-deaths-sparks-concern-over-actual-death-toll
Legacy of Japan’s Nakagin Capsule Tower lives on in restored pods,One of Tokyo’s most famous buildings was dismantled in April due to asbestos fears. Now 23 of the capsules have been saved for posterity,https://www.theguardian.com/world/2023/jan/06/legacy-japan-nagakin-capsule-tower-lives-on-restored-pods
Thai police accused of ‘sham’ forced labour inquiry at former Tesco supplier,,https://www.theguardian.com/world/2023/jan/05/thai-police-accused-sham-probe-alleged-forced-labour-former-tesco-supplier
"Return to China will require a resolution of Peng Shuai case, says Women’s Tennis Association",Governing body of women’s tennis says it wants to meet Peng in person before it resumes tournaments in China,https://www.theguardian.com/sport/2023/jan/05/return-to-china-will-require-a-resolution-of-peng-shuai-case-says-womens-tennis-association
"‘To gain respect, you need success’: the trans tycoon from Thailand who bought up Miss Universe","Anne Jakrajutatip, boss of JKN Global, recently made headlines by buying the firm behind the contest for $20m",https://www.theguardian.com/world/2023/jan/05/anne-jakrajutatip-trans-tycoon-miss-universe-thailand
China data ‘under-represents’ true impact of Covid outbreak – WHO,"Analysis of Chinese data finds no new variants of concern emerging, but world health body says it still does not have ‘complete data’",https://www.theguardian.com/world/2023/jan/05/china-data-under-represents-true-impact-of-covid-outbreak-who
Australia news live updates: Western Australia towns to be ‘islands’ amid floods; Albanese plays down US concerns over Aukus,Follow live,https://www.theguardian.com/australia-news/live/2023/jan/07/australia-news-live-updates-western-australia-towns-to-be-islands-amid-floods-us-concerns-over-aukus-deal
Pro-Putin YouTuber ‘Aussie Cossack’ defends ‘prank’ video on Ukrainian ambassador after complaint to police,Ukrainian ambassador to Australia Vasyl Myroshnychenko says he is a victim of a ‘telephone harassment campaign’ but Simeon Boikov denies inciting followers,https://www.theguardian.com/australia-news/2023/jan/07/pro-putin-youtuber-aussie-cossack-defends-prank-video-on-ukrainian-ambassador-after-complaint-to-police
‘People have lost everything’: flooded houses in the Kimberley could be uninhabitable for months,"Receding flood waters have revealed homes caked in thick mud, which locals say will ‘set like concrete’ when it dries",https://www.theguardian.com/australia-news/2023/jan/07/people-have-lost-everything-flooded-houses-in-the-kimberley-could-be-uninhabitable-for-months
Younger girls increasingly presenting to Australian hospitals in mental distress,"Studies find rising emergency presentations for suicidal ideation and self-harm, as well as growing antidepressant use",https://www.theguardian.com/society/2023/jan/07/younger-girls-increasingly-presenting-to-australian-hospitals-in-mental-distress
Ash Barty announces on Instagram she is pregnant,Former world No 1 says ‘2023 set to be the best year yet’ – she retired after winning the 2022 Australian Open,https://www.theguardian.com/sport/2023/jan/06/ash-barty-announces-on-instagram-she-is-pregnant
"Covid deaths in Australian aged care surpass 100 a week, the highest rate since August","Health department data shows deaths have progressively increased from October, with 738 outbreaks now active in facilities",https://www.theguardian.com/australia-news/2023/jan/06/covid-deaths-in-aged-care-surpass-100-a-week-the-highest-rate-since-august
Andrew Tate arrest: Romanian authorities seize four more luxury cars,"Fresh haul follows 11 cars already taken in investigation into social media influencer, who is due in court next week",https://www.theguardian.com/world/2023/jan/06/andrew-tate-arrest-romanian-authorities-seize-four-more-luxury-cars
US announces new $3.75bn aid package for Ukraine and its neighbors,Latest tranche of assistance will include for the first time Bradley armored vehicles,https://www.theguardian.com/world/2023/jan/06/us-ukraine-aid-package
US $3bn aid package to Ukraine to include dozens of Bradley fighting vehicles – as it happened,Largest assistance package Washington has provided marks Biden’s latest effort to help Ukraine beat back Russian forces,https://www.theguardian.com/world/live/2023/jan/06/russia-ukraine-war-live-zelenskiy-dismisses-russian-ceasefire-saying-war-will-end-when-your-soldiers-leave
What happened in the Russia-Ukraine war this week? Catch up with the must-read news and analysis,Ukraine missile strike on Russian-held city kills 89 troops; Wagner counts costs in Bakhmut and new year on the frontline,https://www.theguardian.com/world/2023/jan/07/what-happened-in-the-russia-ukraine-war-this-week-catch-up-with-the-must-read-news-and-analysis
"‘Self-healing’ Roman concrete could aid modern construction, study suggests",Research finds secret of durability of buildings such as the Pantheon could be in the techniques used at the time,https://www.theguardian.com/science/2023/jan/06/self-healing-roman-concrete-could-aid-modern-construction-study-suggests
"International nuclear fusion project may be delayed by years, its head admits","Facility still far from being able to show feasibility of generating plentiful, carbon-free energy despite recent breakthrough in US",https://www.theguardian.com/science/2023/jan/06/french-nuclear-fusion-project-may-be-delayed-by-years-its-head-admits
NSW woman Mariam Raad granted bail after being charged with entering Islamic State territory,"Raad, who was repatriated from Syria to Australia in 2022, was forced to surrender her passport and will appear at court again in March",https://www.theguardian.com/australia-news/2023/jan/06/nsw-woman-mariam-raad-granted-bail-after-being-charged-with-entering-islamic-state-territory
Saudi Arabia jails two Wikipedia staff in ‘bid to control content’,"Administrators jailed for 32 years, and eight years, as activists warn of ploy to infiltrate website",https://www.theguardian.com/technology/2023/jan/05/saudi-arabia-jails-two-wikipedia-staff-in-bid-to-control-content
Iran arrests celebrity chef in crackdown on protests,"Detainment of Navab Ebrahimi is speculated to be linked to post about cutlets, a possible taunt over general’s death",https://www.theguardian.com/world/2023/jan/05/iran-arrests-celebrity-chef-in-crackdown-on-protests
Israeli government plan to limit judicial powers sharply criticised,Grave concerns over Netanyahu coalition’s plan to invalidate supreme court decisions with simple majority,https://www.theguardian.com/world/2023/jan/05/far-right-government-of-israels-plans-to-limit-power-of-judiciary-condemned
Outcry over footage of men smashing cross at Jerusalem cemetery,Vandals’ clothing leads to claims they are Jewish extremists who have desecrated over 30 Christian graves,https://www.theguardian.com/world/2023/jan/05/security-footage-shows-men-smashing-stone-cross-jerusalem-cemetery
