Headline,Text,Link
Nine killed in New Year’s Eve crush in Ugandan capital,Survivor says pushing began after fireworks outside Freedom City shopping mall in Kampala,https://www.theguardian.com/world/2023/jan/01/nine-killed-in-new-years-eve-crush-in-kampala-uganda
Blair government had misgivings about Mandela mediation role over Lockerbie,Files show Downing Street felt former South African leader’s attempt to mediate was ‘unlikely to be helpful’,https://www.theguardian.com/uk-news/2022/dec/30/blair-government-misgivings-mandela-mediation-role-lockerbie-national-archives
Home Office urged to reunite Eritrean family separated as they boarded boat,Appeal for UK authorities to bring over mother who was left in France after smugglers departed shore with her three children,https://www.theguardian.com/uk-news/2022/dec/29/home-office-urged-to-reunite-eritrean-family-separated-as-they-boarded-boat
Young Sudanese archaeologists dig up history as ‘west knows best’ era ends,"On a continent that has long attracted western expeditions, a wave of young people are now exploring sites",https://www.theguardian.com/world/2022/dec/27/young-sudanese-archaeologists-dig-up-history-as-west-knows-best-era-ends
Revealed: Libya aborted plan to hand Gaddafi spy chief to US at last minute,Extradition of Abdullah al-Senussi over Lockerbie bombing would have closely followed that of Mohammed Abouagela Masud,https://www.theguardian.com/world/2022/dec/23/libya-aborted-plan-to-hand-gaddafi-spy-chief-to-us-abdullah-al-senussi
Ethics row rages after South Sudan leader wets himself on live TV,Critics say President Salva Kiir is unfit to lead long-suffering nation while others decry mocking of ‘an elder’,https://www.theguardian.com/global-development/2022/dec/22/south-sudan-leader-live-tv-president-salva-kiir
Number of populist world leaders at 20-year low,"After Bolsonaro’s defeat and Duterte’s departure, 1.7bn people are now living under populist rule, report says",https://www.theguardian.com/world/2023/jan/05/number-of-populist-world-leaders-at-20-year-low
British man shot dead at villa in Jamaica,"Sean Patterson, 33, reportedly killed by gunman while he was standing by pool at guest house in Bogue Hill",https://www.theguardian.com/world/2023/jan/04/sean-patterson-british-man-shot-dead-jamaica
‘A lack of respect’: Brazil footballers fail to show up to Pelé’s funeral,Few of the country’s previous World Cup winners traveled to pay homage to the football legend,https://www.theguardian.com/football/2023/jan/04/pele-funeral-brazil-footballers-dont-show-up
Colombia’s ELN guerrilla group denies agreeing to national ceasefire,Statement by the ELN contradicts president’s announcement of six-month truce between country’s five largest armed groups,https://www.theguardian.com/world/2023/jan/03/colombia-guerrillas-deny-national-ceasefire
Private burial of Pelé in Santos after eight-mile funeral procession,"Coffin of Brazilian footballer, who died aged 82, taken to cemetery near stadium where he began career",https://www.theguardian.com/world/2023/jan/03/private-burial-of-pele-in-santos-after-eight-mile-funeral-procession
George Santos: Brazil reactivates fraud case against fabulist congressman-elect,Republican is accused of using stolen checkbook and fake name at shop outside Rio de Janeiro in 2008,https://www.theguardian.com/us-news/2023/jan/03/george-santos-brazil-reactivates-fraud-case
